TREE NAME,METHOD NAME,DATASET TYPE,DATASET SIZE,AVERAGE,STD DEV,STR COUNT,REPEAT AMT,FIXED STR LEN,MIN STR LEN,MAX STR LEN
TWO_THREE_TREE,insertElement,set_random,0,0,0.0,0,10,0,,
TWO_THREE_TREE,insertElement,set_random,1,6.719992961734533e-05,0.0,1,10,10,,
TWO_THREE_TREE,insertElement,set_random,2,6.895000115036964e-05,1.5849946066737175e-05,2,10,10,,
TWO_THREE_TREE,insertElement,set_random,3,7.273334388931592e-05,1.4422483354083273e-05,3,10,10,,
TWO_THREE_TREE,insertElement,set_random,4,8.012496982701123e-05,2.0099407723185487e-05,4,10,10,,
TWO_THREE_TREE,insertElement,set_random,5,7.905999664217233e-05,1.1610970264795299e-05,5,10,10,,
TWO_THREE_TREE,insertElement,set_random,6,7.266663790990908e-05,7.021310247464575e-06,6,10,10,,
TWO_THREE_TREE,insertElement,set_random,7,7.525715045630932e-05,7.136364827382724e-06,7,10,10,,
TWO_THREE_TREE,insertElement,set_random,8,7.853747229091823e-05,4.149344075571345e-06,8,10,10,,
TWO_THREE_TREE,insertElement,set_random,9,9.982221915076177e-05,1.4190196541073728e-05,9,10,10,,
TWO_THREE_TREE,insertElement,set_sorted,0,0,0.0,0,10,0,,
TWO_THREE_TREE,insertElement,set_sorted,1,0.00012240000069141388,0.0,1,10,10,,
TWO_THREE_TREE,insertElement,set_sorted,2,0.00011894997442141175,7.450056727975607e-06,2,10,10,,
TWO_THREE_TREE,insertElement,set_sorted,3,0.00013726670295000076,5.1044562648554226e-06,3,10,10,,
TWO_THREE_TREE,insertElement,set_sorted,4,0.00012260000221431255,2.615576782039414e-05,4,10,10,,
TWO_THREE_TREE,insertElement,set_sorted,5,9.393999353051186e-05,6.592916067413872e-06,5,10,10,,
TWO_THREE_TREE,insertElement,set_sorted,6,9.626666239152352e-05,1.0434352179083028e-05,6,10,10,,
TWO_THREE_TREE,insertElement,set_sorted,7,0.00011092860118619033,2.2259742417255048e-05,7,10,10,,
TWO_THREE_TREE,insertElement,set_sorted,8,0.00010866249795071781,1.2832968500975671e-05,8,10,10,,
TWO_THREE_TREE,insertElement,set_sorted,9,9.742221381101344e-05,3.303976097749649e-05,9,10,10,,
TWO_THREE_TREE,insertElement,set_nearly_sorted,0,0,0.0,0,10,0,,
TWO_THREE_TREE,insertElement,set_nearly_sorted,1,9.290000889450312e-05,0.0,1,10,10,,
TWO_THREE_TREE,insertElement,set_nearly_sorted,2,7.959996582940221e-05,6.799993570894003e-06,2,10,10,,
TWO_THREE_TREE,insertElement,set_nearly_sorted,3,9.806667609761159e-05,1.592424284526064e-05,3,10,10,,
TWO_THREE_TREE,insertElement,set_nearly_sorted,4,8.777499897405505e-05,6.7732604457969805e-06,4,10,10,,
TWO_THREE_TREE,insertElement,set_nearly_sorted,5,8.375998586416245e-05,1.1371116744667947e-05,5,10,10,,
TWO_THREE_TREE,insertElement,set_nearly_sorted,6,7.51999905332923e-05,6.483568369288199e-06,6,10,10,,
TWO_THREE_TREE,insertElement,set_nearly_sorted,7,8.068571332842112e-05,9.79105878481419e-06,7,10,10,,
TWO_THREE_TREE,insertElement,set_nearly_sorted,8,9.22124891076237e-05,3.2826882921044e-05,8,10,10,,
TWO_THREE_TREE,insertElement,set_nearly_sorted,9,8.425552449706529e-05,1.5240390025632601e-05,9,10,10,,
TWO_THREE_TREE,insertElement,range_random,0,0,0.0,0,10,0,,
TWO_THREE_TREE,insertElement,range_random,1,6.470002699643373e-05,0.0,1,10,21,,
TWO_THREE_TREE,insertElement,range_random,2,6.619998021051288e-05,2.1999585442245007e-06,2,10,,12,14
TWO_THREE_TREE,insertElement,range_random,3,7.269997149705887e-05,1.7795265920955563e-06,3,10,,26,38
TWO_THREE_TREE,insertElement,range_random,4,0.00010412500705569983,5.4471745938775315e-05,4,10,,30,44
TWO_THREE_TREE,insertElement,range_random,5,7.663997821509838e-05,5.719273127324411e-06,5,10,,10,33
TWO_THREE_TREE,insertElement,range_random,6,9.084999328479171e-05,1.0004451870574461e-05,6,10,,13,36
TWO_THREE_TREE,insertElement,range_random,7,0.00010932855574148042,6.75514736823938e-05,7,10,,14,48
TWO_THREE_TREE,insertElement,range_random,8,5.778748891316354e-05,8.054751059384852e-06,8,10,,14,42
TWO_THREE_TREE,insertElement,range_random,9,5.206666214184629e-05,8.607981042317928e-06,9,10,,10,48
TWO_THREE_TREE,insertElement,range_sorted,0,0,0.0,0,10,0,,
TWO_THREE_TREE,insertElement,range_sorted,1,3.9499951526522636e-05,0.0,1,10,46,,
TWO_THREE_TREE,insertElement,range_sorted,2,4.140002420172095e-05,5.999463610351086e-07,2,10,,38,49
TWO_THREE_TREE,insertElement,range_sorted,3,4.4266654488941036e-05,4.601725550164639e-06,3,10,,11,50
TWO_THREE_TREE,insertElement,range_sorted,4,4.587500006891787e-05,7.700772634957496e-06,4,10,,15,48
TWO_THREE_TREE,insertElement,range_sorted,5,4.894000012427569e-05,6.191440698308111e-06,5,10,,17,42
TWO_THREE_TREE,insertElement,range_sorted,6,4.1783341051389776e-05,4.084265555602543e-06,6,10,,14,47
TWO_THREE_TREE,insertElement,range_sorted,7,4.1885683978242536e-05,4.651393394659796e-06,7,10,,16,50
TWO_THREE_TREE,insertElement,range_sorted,8,4.6400033170357347e-05,8.357326272611369e-06,8,10,,10,47
TWO_THREE_TREE,insertElement,range_sorted,9,4.512224242919021e-05,6.1724784512634514e-06,9,10,,10,47
TWO_THREE_TREE,insertElement,range_nearly_sorted,0,0,0.0,0,10,0,,
TWO_THREE_TREE,insertElement,range_nearly_sorted,1,4.9600028432905674e-05,0.0,1,10,11,,
TWO_THREE_TREE,insertElement,range_nearly_sorted,2,4.704995080828667e-05,6.349990144371986e-06,2,10,,21,25
TWO_THREE_TREE,insertElement,range_nearly_sorted,3,5.246663931757212e-05,8.188346600211255e-06,3,10,,31,44
TWO_THREE_TREE,insertElement,range_nearly_sorted,4,5.514998338185251e-05,9.836064619160599e-06,4,10,,23,35
TWO_THREE_TREE,insertElement,range_nearly_sorted,5,5.591998342424631e-05,5.481064302578958e-06,5,10,,19,47
TWO_THREE_TREE,insertElement,range_nearly_sorted,6,6.660000265886386e-05,1.2758760882146577e-05,6,10,,12,45
TWO_THREE_TREE,insertElement,range_nearly_sorted,7,5.897144520921367e-05,1.0124721231795991e-05,7,10,,16,49
TWO_THREE_TREE,insertElement,range_nearly_sorted,8,5.1437498768791556e-05,8.537431420017879e-06,8,10,,10,36
TWO_THREE_TREE,insertElement,range_nearly_sorted,9,5.17888693138957e-05,6.5605703178730124e-06,9,10,,11,48
LLRB_TREE,insertElement,set_random,0,0,0.0,0,10,0,,
LLRB_TREE,insertElement,set_random,1,1.4199991710484028e-05,0.0,1,10,10,,
LLRB_TREE,insertElement,set_random,2,1.6400008462369442e-05,6.00004568696022e-07,2,10,10,,
LLRB_TREE,insertElement,set_random,3,1.8033315427601337e-05,2.3156101481304213e-06,3,10,10,,
LLRB_TREE,insertElement,set_random,4,2.247499651275575e-05,8.360399718448692e-06,4,10,10,,
LLRB_TREE,insertElement,set_random,5,4.348000511527062e-05,5.384967060554492e-06,5,10,10,,
LLRB_TREE,insertElement,set_random,6,5.0016678869724274e-05,1.4444301232779815e-05,6,10,10,,
